O9G_000001	PITH domain-containing protein
O9G_002980	hypothetical protein
O9G_002981	Clathrin adaptor, mu subunit domain-containing protein
O9G_002982	hypothetical protein
O9G_002983	hypothetical protein
O9G_002984	Thiolase-like, subgroup domain-containing protein
O9G_002985	Anaphase-promoting complex subunit 11 domain-containing protein
O9G_002986	SEC7-like, alpha orthogonal bundle domain-containing protein
O9G_002988	THO complex, subunitTHOC2 domain-containing protein
O9G_002989	hypothetical protein
O9G_002990	hypothetical protein
O9G_002991	Yippee-like protein domain-containing protein
O9G_002992	hypothetical protein
O9G_002993	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_002994	hypothetical protein
O9G_002995	hypothetical protein
O9G_002996	NAD(P)-binding domain-containing protein
O9G_002997	Pyruvate kinase, barrel domain-containing protein
O9G_002998	hypothetical protein
O9G_002999	hypothetical protein
O9G_003000	mRNA decapping protein 2, Box A domain-containing protein
O9G_003001	Topoisomerase II-associated protein PAT1 domain-containing protein
O9G_003002	hypothetical protein
O9G_003003	hypothetical protein
O9G_003004	ABC transporter domain-containing protein
O9G_003005	hypothetical protein
O9G_003006	Small GTPase superfamily domain-containing protein
O9G_003007	hypothetical protein
O9G_003008	EF-Hand 1, calcium-binding site domain-containing protein
O9G_003009	hypothetical protein
O9G_003010	hypothetical protein
O9G_003011	hypothetical protein
O9G_003012	hypothetical protein
O9G_003013	hypothetical protein
O9G_003014	hypothetical protein
O9G_003015	hypothetical protein
O9G_003016	Protein kinase, catalytic domain-containing protein
O9G_003017	DNA-directed DNA polymerase, family A, palm domain-containing protein
O9G_003019	Co-chaperone Hsc20 domain-containing protein
O9G_003020	Translation activator GCN1-like protein
O9G_003021	Homeo-like domain-containing protein
O9G_003022	Beta-lactamase-like domain-containing protein
O9G_003023	Importin subunit alpha-2-like protein 1
O9G_003024	Importin subunit alpha-2-like protein 2
O9G_003025	hypothetical protein
O9G_003026	hypothetical protein
O9G_003027	hypothetical protein
O9G_003028	hypothetical protein
O9G_003029	Rho GDP-dissociation inhibitor domain-containing protein
O9G_003030	DNA mismatch repair protein domain-containing protein
O9G_003031	hypothetical protein
O9G_003032	Kinesin, motor region domain-containing protein
O9G_003033	Pyruvate kinase, barrel domain-containing protein
O9G_003034	Tetratricopeptide-like helical domain-containing protein
O9G_003035	hypothetical protein
O9G_003036	hypothetical protein
O9G_003037	TLDc domain-containing protein
O9G_003038	hypothetical protein
O9G_003039	DUF292, eukaryotic domain-containing protein
O9G_003040	Tubby domain-containing protein
O9G_003041	hypothetical protein
O9G_003042	Dual specificity phosphatase, subgroup, catalytic domain-containing protein
O9G_003043	Ribosomal protein L27e domain-containing protein
O9G_003044	Mg2+, CorA-like/Zinc transporter domain-containing protein
O9G_003045	M-phase inducer phosphatase domain-containing protein
O9G_003046	Dihydrofolate reductase domain-containing protein
O9G_003047	hypothetical protein
O9G_003048	Vacuolar protein sorting-associated protein 26 domain-containing protein
O9G_003049	Kinetochore Spc7 domain-containing protein
O9G_003051	hypothetical protein
O9G_003052	GPCR, family 3 domain-containing protein
O9G_003053	hypothetical protein
O9G_003054	hypothetical protein
O9G_003055	hypothetical protein
O9G_003056	hypothetical protein
O9G_003057	Potentiating neddylation domain-containing protein
O9G_003058	Peptidase S9, prolyl oligopeptidase, catalytic domain-containing protein
O9G_003059	hypothetical protein
O9G_003060	hypothetical protein
O9G_003061	Pseudouridine synthase, RluC/RluD domain-containing protein
O9G_003062	Nucleoside phosphorylase domain-containing protein
O9G_003063	hypothetical protein
O9G_003064	Cullin 4-like protein
O9G_003065	Histone H2A
O9G_003066	Histone H2B.2
O9G_003067	Mitochondrial substrate/solute carrier domain-containing protein
O9G_003068	CRAL-TRIO domain-containing protein
O9G_003069	hypothetical protein
O9G_003070	hypothetical protein
O9G_003071	RINT-1/TIP-1 domain-containing protein
O9G_003072	hypothetical protein
O9G_003073	hypothetical protein
O9G_003074	PCI/PINT associated module domain-containing protein
O9G_003075	hypothetical protein
O9G_003076	hypothetical protein
O9G_003077	putative tyrosine-protein phosphatase DG1060
O9G_003078	Hypoxanthine phosphoribosyl transferase domain-containing protein
O9G_003079	Prp18 domain-containing protein
O9G_003080	hypothetical protein
O9G_003081	Polynucleotide 3'-phosphatase domain-containing protein
O9G_003082	ABC transporter domain-containing protein
O9G_003083	hypothetical protein
O9G_003084	Acyl-CoA N-acyltransferase domain-containing protein
O9G_003085	Histone deacetylase 1
O9G_003086	Glycoside hydrolase/deacetylase, beta/alpha-barrel domain-containing protein
O9G_003087	Glycoside hydrolase/deacetylase, beta/alpha-barrel domain-containing protein
O9G_003089	Rab-GTPase-TBC domain-containing protein
O9G_003090	hypothetical protein
O9G_003091	Peptidase M28 domain-containing protein
O9G_003092	hypothetical protein
O9G_003093	hypothetical protein
O9G_003094	RNA recognition motif 2 domain-containing protein
O9G_003095	hypothetical protein
O9G_003096	hypothetical protein
O9G_003097	hypothetical protein
O9G_003098	hypothetical protein
O9G_003099	6-phosphogluconate dehydrogenase, decarboxylating
O9G_003100	hypothetical protein
O9G_003101	hypothetical protein
O9G_003102	FAD binding domain-containing protein
O9G_003103	hypothetical protein
O9G_003104	hypothetical protein
O9G_003105	Vacuolar protein sorting-associated protein 1
O9G_003106	hypothetical protein
O9G_003107	hypothetical protein
O9G_003108	hypothetical protein
O9G_003109	Ribosomal protein L7, eukaryotic domain-containing protein
O9G_003110	Small GTPase superfamily, Rab type domain-containing protein
O9G_003111	hypothetical protein
O9G_003112	Prolyl 4-hydroxylase, alpha subunit domain-containing protein
O9G_003113	Small ubiquitin-related modifier, SUMO domain-containing protein
O9G_003114	Peptidyl-prolyl cis-trans isomerase, FKBP-type domain-containing protein
O9G_003115	hypothetical protein
O9G_003116	hypothetical protein
O9G_003117	hypothetical protein
O9G_003118	Peptidase M28 domain-containing protein
O9G_003119	hypothetical protein
O9G_003120	hypothetical protein
O9G_003121	hypothetical protein
O9G_003122	hypothetical protein
O9G_003123	hypothetical protein
O9G_003125	hypothetical protein
O9G_003126	DnaJ domain-containing protein
O9G_003127	Mitochondrial substrate/solute carrier domain-containing protein
O9G_003128	hypothetical protein
O9G_003129	hypothetical protein
O9G_003130	Metallopeptidase, catalytic domain-containing protein
O9G_003131	hypothetical protein
O9G_003132	Cleavage/polyadenylation specificity factor, A subunit domain-containing protein
O9G_003133	Cytochrome b-c1 complex subunit 7 domain-containing protein
O9G_003134	hypothetical protein
O9G_003136	Alanyl-tRNA synthetase, class IIc domain-containing protein
O9G_003137	hypothetical protein
O9G_003138	hypothetical protein
O9G_003139	hypothetical protein
O9G_003140	Small COPII coat GTPase sar1
O9G_003141	Nucleolar pre-ribosomal-associated protein 1 domain-containing protein
O9G_003142	hypothetical protein
O9G_003143	hypothetical protein
O9G_003144	Protein kinase, catalytic domain-containing protein
O9G_003145	hypothetical protein
O9G_003146	Cyclic nucleotide-binding-like domain-containing protein
O9G_003147	Actin-binding, cofilin/tropomyosin type domain-containing protein
O9G_003148	Signal transduction histidine kinase, phosphotransfer (Hpt) domain-containing protein
O9G_003149	Protein of unknown function DUF1275 domain-containing protein
O9G_003150	40S ribosomal protein S23
O9G_003151	RmlC-like jelly roll fold domain-containing protein
O9G_003152	hypothetical protein
O9G_003153	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_003154	hypothetical protein
O9G_003155	Peptidase S9A/B/C, oligopeptidasebeta-propeller domain-containing protein
O9G_003156	Clathrin heavy chain 1
O9G_003157	hypothetical protein
O9G_003158	hypothetical protein
O9G_003159	hypothetical protein
O9G_003160	FACT complex subunit Spt16p/Cdc68p domain-containing protein
O9G_003161	hypothetical protein
O9G_003162	Aminotransferase, class IV domain-containing protein
O9G_003163	hypothetical protein
O9G_003164	hypothetical protein
O9G_003165	hypothetical protein
O9G_003166	hypothetical protein
O9G_003167	hypothetical protein
O9G_003168	Sirtuin family domain-containing protein
O9G_003169	Protein kinase, ATP binding site domain-containing protein
O9G_003170	hypothetical protein
O9G_003171	Ras-related protein Rab-11A
O9G_003172	hypothetical protein
O9G_003173	Phospholipase D, phosphatidylserine synthase type domain-containing protein
O9G_003174	Zinc finger, C2H2 domain-containing protein
O9G_003175	hypothetical protein
O9G_003176	Inositol polyphosphate-related phosphatase domain-containing protein
O9G_003177	BRO1 domain-containing protein
O9G_003178	hypothetical protein
O9G_003179	Ceramide glucosyltransferase domain-containing protein
O9G_003180	hypothetical protein
O9G_003181	hypothetical protein
O9G_003182	Protein phosphatase 2C domain-containing protein
O9G_003183	Scramblase domain-containing protein
O9G_003184	Bicoid-interacting 3 domain-containing protein
O9G_003185	hypothetical protein
O9G_003186	hypothetical protein
O9G_003187	hypothetical protein
O9G_003188	hypothetical protein
O9G_003189	hypothetical protein
O9G_003190	hypothetical protein
O9G_003191	hypothetical protein
O9G_003193	hypothetical protein
O9G_003194	hypothetical protein
O9G_003195	13 kDa ribonucleoprotein-associated protein
O9G_003196	hypothetical protein
O9G_003197	hypothetical protein
O9G_003198	NOG domain-containing protein
O9G_003199	hypothetical protein
O9G_003200	Initiation factor eIF-4 gamma, MA3 domain-containing protein
O9G_003201	hypothetical protein
O9G_003202	Mitochondrial distribution and morphology protein family 31/32 domain-containing protein
O9G_003203	hypothetical protein
O9G_003204	hypothetical protein
O9G_003205	hypothetical protein
O9G_003206	Neurolysin/Thimet oligopeptidase 2 domain-containing protein
O9G_003207	Ribosomal biogenesis regulatory protein domain-containing protein
O9G_003208	hypothetical protein
O9G_003209	hypothetical protein
O9G_003210	hypothetical protein
O9G_003211	Acyl-CoA oxidase/dehydrogenase, central domain-containing protein
O9G_003212	hypothetical protein
O9G_003213	hypothetical protein
O9G_003214	Aminoacyl-tRNA synthetase, class Ia domain-containing protein
O9G_003215	hypothetical protein
O9G_003216	NLI interacting factor domain-containing protein
O9G_003217	hypothetical protein
O9G_003218	Carbohydrate kinase PfkB domain-containing protein
O9G_003219	hypothetical protein
O9G_003220	hypothetical protein
O9G_003221	hypothetical protein
O9G_003222	Nucleoside diphosphate kinase B
O9G_003223	hypothetical protein
O9G_003224	6-pyruvoyl tetrahydropterin synthase/QueD family protein domain-containing protein
O9G_003226	hypothetical protein
O9G_003227	hypothetical protein
O9G_003228	Zinc finger, RING-type domain-containing protein
O9G_003229	hypothetical protein
O9G_003230	Polysaccharide deacetylase domain-containing protein
O9G_003231	Protein kinase, catalytic domain-containing protein
O9G_003232	Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase-like protein
O9G_003233	CRAL-TRIO domain-containing protein
O9G_003234	hypothetical protein
O9G_003235	hypothetical protein
O9G_003236	Fructose-1,6-bisphosphatase domain-containing protein
O9G_003237	Copine domain-containing protein
O9G_003238	hypothetical protein
O9G_003239	hypothetical protein
O9G_003240	Glycoside hydrolase/deacetylase, beta/alpha-barrel domain-containing protein
O9G_003241	hypothetical protein
O9G_003242	hypothetical protein
O9G_003243	hypothetical protein
O9G_003244	NAD(P)-binding domain-containing protein
O9G_003245	hypothetical protein
O9G_003246	Actin-binding FH2 domain-containing protein
O9G_003247	Beta-tubulin cofactor D-like protein
O9G_003248	RhoGEF domain-containing protein 2
O9G_003249	hypothetical protein
O9G_003250	hypothetical protein
O9G_003251	hypothetical protein
O9G_003252	UbiB domain-containing protein
O9G_003253	hypothetical protein
O9G_003254	hypothetical protein
O9G_003255	hypothetical protein
O9G_003257	hypothetical protein
O9G_003258	hypothetical protein
O9G_003259	DNA photolyase domain-containing protein
O9G_003260	Fumarate lyase domain-containing protein
O9G_003261	Peptidase M36, fungalysin domain-containing protein
O9G_003262	hypothetical protein
O9G_003263	Arf GTPase activating protein domain-containing protein
O9G_003264	hypothetical protein
O9G_003265	Coatomer, WD associated region domain-containing protein
O9G_003266	40S ribosomal protein S21
O9G_003267	Isocitrate and isopropylmalate dehydrogenases family domain-containing protein
O9G_003268	DNA-directed RNA polymerase, insert domain-containing protein
O9G_003269	hypothetical protein
O9G_003270	Thioredoxin-like fold domain-containing protein
O9G_003271	putative deoxyhypusine synthase
O9G_003272	hypothetical protein
O9G_003273	hypothetical protein
O9G_003274	hypothetical protein
O9G_003275	Tetratricopeptide-like helical domain-containing protein
O9G_003276	hypothetical protein
O9G_003277	hypothetical protein
O9G_003278	hypothetical protein
O9G_003279	SDA1 domain-containing protein
O9G_003280	UPF0220 domain-containing protein
O9G_003281	TEA/ATTS domain-containing protein
O9G_003282	Dedicator of cytokinesis B domain-containing protein
O9G_003284	hypothetical protein
O9G_003285	Na+/H+ exchanger domain-containing protein
O9G_003286	Beta-lactamase superfamily domain-containing protein
O9G_003287	hypothetical protein
O9G_003289	Dynein heavy chain-2 domain-containing protein
O9G_003290	ABC-2 type transporter domain-containing protein
O9G_003291	Proteasome activator pa28, REG alpha/beta subunit domain-containing protein
O9G_003292	hypothetical protein
O9G_003293	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_003294	AAA+ ATPase domain-containing protein
O9G_003295	hypothetical protein
O9G_003296	hypothetical protein
O9G_003297	hypothetical protein
O9G_003298	Protein of unknown function DUF1394 domain-containing protein
O9G_003299	Ras guanine nucleotide exchange factor domain-containing protein
O9G_003300	hypothetical protein
O9G_003301	Serine/threonine-dual specificity kinase domain-containing protein
O9G_003302	Translin domain-containing protein
O9G_003303	Suppressor of forked domain-containing protein
O9G_003304	Dynein light chain roadblock-type 2
O9G_003305	Beta-Casp domain-containing protein
O9G_003306	hypothetical protein
O9G_003307	Kinesin, motor region domain-containing protein
O9G_003309	hypothetical protein
O9G_003310	hypothetical protein
O9G_003311	Acyl-CoA synthetase family member 4 domain-containing protein
O9G_003312	hypothetical protein
O9G_003313	Protein kinase, catalytic domain-containing protein
O9G_003314	hypothetical protein
O9G_003315	hypothetical protein
O9G_003316	hypothetical protein
O9G_003317	hypothetical protein
O9G_003318	hypothetical protein
O9G_003319	hypothetical protein
O9G_003320	hypothetical protein
O9G_003321	hypothetical protein
O9G_003322	Phospholipid/glycerol acyltransferase domain-containing protein
O9G_003323	4'-phosphopantetheinyl transferase superfamily domain-containing protein
O9G_003324	hypothetical protein
O9G_003325	hypothetical protein
O9G_003326	Transcription elongation factor Spt5, NGN domain-containing protein
O9G_003327	hypothetical protein
O9G_003328	hypothetical protein
O9G_003329	hypothetical protein
O9G_003330	TAP42-like protein domain-containing protein
O9G_003331	Nuclear control of ATP synthase 2 domain-containing protein
O9G_003332	hypothetical protein
O9G_003333	ARP2/3 complex, 41kDa subunit (p41-arc) domain-containing protein
O9G_003334	E3 ubiquitin ligase complex SCF subunit sconC
O9G_003335	Proteasome subunit beta type-7
O9G_003336	Zinc finger, GATA-type domain-containing protein
O9G_003337	hypothetical protein
O9G_003338	Endoplasmin domain-containing protein
O9G_003339	G-protein alpha subunit domain-containing protein
O9G_003340	UTP--glucose-1-phosphate uridylyltransferase domain-containing protein
O9G_003341	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_003342	Axonemal dynein light chain domain-containing protein
O9G_003343	Autophagy-related protein 2, fungi domain-containing protein
O9G_003344	hypothetical protein
O9G_003345	Isochorismatase-like domain-containing protein
O9G_003347	hypothetical protein
O9G_003348	hypothetical protein
O9G_003349	AAA-ATPase-like domain-containing protein
O9G_003350	Ribosomal protein S5 2-type fold, subgroup domain-containing protein
O9G_003351	UDP-glucose 6-dehydrogenase
O9G_003352	hypothetical protein
O9G_003353	Organic solute transporter Ost-alpha domain-containing protein
O9G_003354	NAD(P)-binding domain-containing protein
O9G_003355	Las1-like domain-containing protein
O9G_003356	hypothetical protein
O9G_003357	hypothetical protein
O9G_003358	hypothetical protein
O9G_003359	Mannose-6-phosphate isomerase, type I domain-containing protein
O9G_003360	Prefoldin subunit 2 domain-containing protein
O9G_003361	Chaperonin ClpA/B domain-containing protein
O9G_003362	hypothetical protein
O9G_003363	hypothetical protein
O9G_003364	Citrate synthase, bacterial-type domain-containing protein
O9G_003365	ATPase, F1/V1/A1 complex, alpha/beta subunit domain-containing protein
O9G_003366	Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1 domain-containing protein
O9G_003367	hypothetical protein
O9G_003368	Exonuclease, RNase T/DNA polymerase III domain-containing protein
O9G_003369	hypothetical protein
O9G_003370	hypothetical protein
O9G_003371	hypothetical protein
O9G_003372	Protein kinase, catalytic domain-containing protein
O9G_003373	Tetrapyrrole biosynthesis, uroporphyrinogen III synthase domain-containing protein
O9G_003375	hypothetical protein
O9G_003376	hypothetical protein
O9G_003377	hypothetical protein
O9G_003378	Cyclin C/H/T/L domain-containing protein
O9G_003379	Cyclin C/H/T/L domain-containing protein
O9G_003380	hypothetical protein
O9G_003381	hypothetical protein
O9G_003382	hypothetical protein
O9G_003383	hypothetical protein
O9G_003384	60S ribosomal protein L15
O9G_003385	Negative regulator of the PHO system
O9G_003386	hypothetical protein
O9G_003387	hypothetical protein
O9G_003388	Protein-L-isoaspartate(D-aspartate) O-methyltransferase domain-containing protein
O9G_003389	hypothetical protein
O9G_003390	Dephospho-CoA kinase domain-containing protein
O9G_003391	hypothetical protein
O9G_003392	Peptidase S8, subtilisin-related domain-containing protein
O9G_003393	Cyclin-dependent kinase, regulatory subunit domain-containing protein
O9G_003394	sulfate adenylyltransferase domain-containing protein
O9G_003395	hypothetical protein
O9G_003396	hypothetical protein
O9G_003397	hypothetical protein
O9G_003398	hypothetical protein
O9G_003399	hypothetical protein
O9G_003400	hypothetical protein
O9G_003401	hypothetical protein
O9G_003403	hypothetical protein
O9G_003404	hypothetical protein
O9G_003405	hypothetical protein
O9G_003407	hypothetical protein
O9G_003408	hypothetical protein
O9G_003409	hypothetical protein
O9G_003410	hypothetical protein
O9G_003411	hypothetical protein
O9G_003412	hypothetical protein
O9G_003413	hypothetical protein
O9G_003414	Protein of unknown function DUF1395 domain-containing protein
O9G_003415	hypothetical protein
O9G_003416	Phosphatidylinositol-4-phosphate 5-kinase, subgroup domain-containing protein
O9G_003417	Staphylococcal nuclease (SNase-like) domain-containing protein
O9G_003418	SGT1 domain-containing protein
O9G_003419	LNS2, Lipin/Ned1/Smp2 domain-containing protein
O9G_003420	hypothetical protein
O9G_003421	hypothetical protein
O9G_003422	hypothetical protein
O9G_003423	Peptidase M17, leucyl aminopeptidase domain-containing protein
O9G_003424	hypothetical protein
O9G_003425	hypothetical protein
O9G_003426	hypothetical protein
O9G_003427	Histone H4.2
O9G_003428	hypothetical protein
O9G_003429	hypothetical protein
O9G_003430	hypothetical protein
O9G_003431	hypothetical protein
O9G_003432	hypothetical protein
O9G_003433	hypothetical protein
O9G_003435	Dynein heavy chain 2, axonemal domain-containing protein
O9G_003436	hypothetical protein
O9G_003437	Mitochondrial substrate/solute carrier domain-containing protein
O9G_003438	PAK-box/P21-Rho-binding domain-containing protein
O9G_003439	hypothetical protein
O9G_003440	GOLD domain-containing protein
O9G_003441	putative small nuclear ribonucleoprotein F
O9G_003442	Cation/H+ exchanger domain-containing protein
O9G_003443	hypothetical protein
O9G_003444	Tubulin/FtsZ, GTPase domain-containing protein
O9G_003445	Mitotic spindle checkpoint protein Mad2 domain-containing protein
O9G_003446	hypothetical protein
O9G_003447	hypothetical protein
O9G_003448	Synaptojanin domain-containing protein
O9G_003449	hypothetical protein
O9G_003450	hypothetical protein
O9G_003451	hypothetical protein
O9G_003453	Homeo-like domain-containing protein
O9G_003454	MIF4-like, type 1/2/3 domain-containing protein
O9G_003456	hypothetical protein
O9G_003457	hypothetical protein
O9G_003458	Cupin-like domain-containing protein
O9G_003459	hypothetical protein
O9G_003460	hypothetical protein
O9G_003461	hypothetical protein
O9G_003462	hypothetical protein
O9G_003464	hypothetical protein
O9G_003465	hypothetical protein
O9G_003466	hypothetical protein
O9G_003467	tRNA (guanine(26)-N(2))-dimethyltransferase domain-containing protein
O9G_003468	hypothetical protein
O9G_003469	Vps16 domain-containing protein
O9G_003470	hypothetical protein
O9G_003471	hypothetical protein
O9G_003472	hypothetical protein
O9G_003473	hypothetical protein
O9G_003474	hypothetical protein
O9G_003475	Nucleoporin, Nup133/Nup155-like protein
O9G_003476	hypothetical protein
O9G_003478	Small GTPase superfamily domain-containing protein
O9G_003479	hypothetical protein
O9G_003480	hypothetical protein
O9G_003481	1-pyrroline-5-carboxylate dehydrogenase domain-containing protein
O9G_003482	Protein kinase-like domain-containing protein
O9G_003484	hypothetical protein
O9G_003485	hypothetical protein
O9G_003486	ATP binding domain-containing protein
O9G_003487	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_003488	hypothetical protein
O9G_003489	XPG domain-containing protein
O9G_003490	hypothetical protein
O9G_003491	Adenylyl cyclase class-3/4/guanylyl cyclase domain-containing protein
O9G_003492	DnaJ domain-containing protein
O9G_003493	hypothetical protein
O9G_003494	Threonine--tRNA ligase, cytoplasmic
O9G_003495	LMBR1-like membrane protein domain-containing protein
O9G_003496	hypothetical protein
O9G_003497	Inner nuclear membrane protein MAN1 domain-containing protein
O9G_003498	hypothetical protein
O9G_003499	hypothetical protein
O9G_003500	hypothetical protein
O9G_003501	Glycosyl transferase, family 2 domain-containing protein
O9G_003502	hypothetical protein
O9G_003503	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_003504	hypothetical protein
O9G_003505	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_003507	ARID/BRIGHT DNA-binding domain-containing protein
O9G_003508	hypothetical protein
O9G_003509	hypothetical protein
O9G_003510	hypothetical protein
O9G_003511	Tetratricopeptide-like helical domain-containing protein
O9G_003512	hypothetical protein
O9G_003513	Dual specificity phosphatase, catalytic domain-containing protein
O9G_003515	Transketolase domain-containing protein
O9G_003516	Mitochondrial inner membrane protein Mitofilin domain-containing protein
O9G_003517	hypothetical protein
O9G_003518	Brix domain-containing protein
O9G_003519	DNA mismatch repair protein MutS domain-containing protein
O9G_003520	hypothetical protein
O9G_003521	hypothetical protein
O9G_003522	HEAT and Armadillo domain-containing protein 2
O9G_003523	hypothetical protein
O9G_003524	Glycosyl transferase, family 1 domain-containing protein
O9G_003525	Cyclin C/H/T/L domain-containing protein
O9G_003526	hypothetical protein
O9G_003527	hypothetical protein
O9G_003528	RNA recognition motif domain-containing protein
O9G_003529	hypothetical protein
O9G_003530	hypothetical protein
O9G_003531	Tyrosinase domain-containing protein
O9G_003532	HECT domain-containing protein
O9G_003533	hypothetical protein
O9G_003534	Acylphosphatase domain-containing protein
O9G_003535	Mitochondrial substrate/solute carrier domain-containing protein
O9G_003536	hypothetical protein
O9G_003537	Golgi phosphoprotein 3 domain-containing protein
O9G_003538	MIF4-like, type 1/2/3 domain-containing protein
O9G_003539	hypothetical protein
O9G_003540	hypothetical protein
O9G_003541	Gluconate transport inducer 1/Pac2 domain-containing protein
O9G_003542	hypothetical protein
O9G_003543	Major facilitator superfamily domain-containing protein
O9G_003544	hypothetical protein
O9G_003545	hypothetical protein
O9G_003546	hypothetical protein
O9G_003547	hypothetical protein
O9G_003548	Forkhead-associated (FHA) domain-containing protein
O9G_003549	Protein-tyrosine phosphatase, SIW14-like domain-containing protein
O9G_003550	hypothetical protein
O9G_003551	hypothetical protein
O9G_003552	NAD(P)-binding domain-containing protein
O9G_003554	hypothetical protein
O9G_003555	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_003556	hypothetical protein
O9G_003557	hypothetical protein
O9G_003558	hypothetical protein
O9G_003559	26S proteasome complex ubiquitin receptor, subunit Rpn13 domain-containing protein
O9G_003560	hypothetical protein
O9G_003561	hypothetical protein
O9G_003562	Endonuclease V domain-containing protein
O9G_003563	hypothetical protein
O9G_003564	hypothetical protein
O9G_003565	hypothetical protein
O9G_003566	Helicase domain-containing protein
O9G_003567	Aldolase-type TIM barrel domain-containing protein
O9G_003568	hypothetical protein
O9G_003569	Kinesin, motor domain-containing protein
O9G_003570	E3 ubiquitin ligase of unknown function DUF913 domain-containing protein
O9G_003571	hypothetical protein
O9G_003572	Transcription initiation factor IID, 18kDa subunit domain-containing protein
O9G_003573	Adenylate kinase domain-containing protein
O9G_003574	hypothetical protein
O9G_003575	hypothetical protein
O9G_003576	Gaa1-like, GPI transamidase component domain-containing protein
O9G_003578	hypothetical protein
O9G_003579	EF-Hand 1, calcium-binding site domain-containing protein
O9G_003580	hypothetical protein
O9G_003581	Protein kinase, catalytic domain-containing protein
O9G_003582	hypothetical protein
O9G_003583	Ribosomal protein L24e-related domain-containing protein
O9G_003584	Palmitoyl protein thioesterase domain-containing protein
O9G_003585	hypothetical protein
O9G_003586	Cytoplasmic FMR1-interacting domain-containing protein
O9G_003587	Glycosyl transferase, family 20 domain-containing protein
O9G_003588	ssDNA-binding transcriptional regulator domain-containing protein
O9G_003589	hypothetical protein
O9G_003590	hypothetical protein
O9G_003591	RhoGEF domain-containing protein 4
O9G_003592	hypothetical protein
O9G_003593	hypothetical protein
O9G_003594	hypothetical protein
O9G_003595	hypothetical protein
O9G_003596	hypothetical protein
O9G_003597	Signal transduction response regulator, receiver domain-containing protein
O9G_003599	hypothetical protein
O9G_003601	hypothetical protein
O9G_003602	hypothetical protein
O9G_003603	hypothetical protein
O9G_003604	SNF2-related domain-containing protein
O9G_003605	SAC3/GANP/Nin1/mts3/eIF-3 p25 domain-containing protein
O9G_003606	hypothetical protein
O9G_003607	Transcriptional activator hap3
O9G_003608	Transitional endoplasmic reticulum ATPase
O9G_003609	hypothetical protein
O9G_003610	MOB kinase activator-like protein
O9G_003611	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 domain-containing protein
O9G_003612	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_003613	ArgK protein domain-containing protein
O9G_003614	hypothetical protein
O9G_003615	Mini-chromosome maintenance complex-binding protein domain-containing protein
O9G_003616	hypothetical protein
O9G_003617	hypothetical protein
O9G_003618	Kinesin, motor region domain-containing protein
O9G_003619	Lipase, class 3 domain-containing protein
O9G_003620	AAA domain-containing protein
O9G_003621	hypothetical protein
O9G_003622	Beta-grasp domain-containing protein
O9G_003623	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_003624	Lipase, class 3 domain-containing protein
O9G_003626	Na+/H+ antiporter, NhaC-like domain-containing protein
O9G_003627	CAP Gly-rich domain-containing protein
O9G_003628	Aldolase-type TIM barrel domain-containing protein
O9G_003629	hypothetical protein
O9G_003630	Pyridine nucleotide-disulfide oxidoreductase-like protein 2
O9G_003631	hypothetical protein
O9G_003632	hypothetical protein
O9G_003633	hypothetical protein
O9G_003634	UTP--glucose-1-phosphate uridylyltransferase domain-containing protein
O9G_003635	hypothetical protein
O9G_003636	UPF0136 and Transmembrane domain-containing protein
O9G_003637	hypothetical protein
O9G_003638	NAD(P)-binding domain-containing protein
O9G_003639	A1 cistron-splicing factor, AAR2 domain-containing protein
O9G_003640	hypothetical protein
O9G_003641	hypothetical protein
O9G_003642	hypothetical protein
O9G_003643	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_003644	Alkaline phosphatase-like, alpha/beta/alpha domain-containing protein
O9G_003645	hypothetical protein
O9G_003646	hypothetical protein
O9G_003647	DUF3351 domain-containing protein
O9G_003649	D123 domain-containing protein
O9G_003650	Ran-binding domain-containing protein
O9G_003651	AMP-dependent synthetase/ligase domain-containing protein
O9G_003652	hypothetical protein
O9G_003653	Ribosomal protein L1 domain-containing protein
O9G_003654	hypothetical protein
O9G_003655	hypothetical protein
O9G_003656	Amine oxidase domain-containing protein
O9G_003657	hypothetical protein
O9G_003658	Protein of unknown function DUF833 domain-containing protein
O9G_003659	Protein kinase, catalytic domain-containing protein
O9G_003660	hypothetical protein
O9G_003661	hypothetical protein
O9G_003662	hypothetical protein
O9G_003663	hypothetical protein
O9G_003664	Basic-leucine zipper domain-containing protein
O9G_003665	T-complex protein 1 subunit alpha
O9G_003666	SET domain-containing protein
O9G_003667	hypothetical protein
